cat,size,elev,XCOORD,YCOORD,farming,prom
1,1,911,6761001.566504,2230212.713276,78,915.941411764706
2,1,1401,6156479.179753,1907471.251348,44,746.853176470588
3,1,640,6082113.845032,1699804.407992,33,874.485529411765
4,1,1088,6105995.28304,1816975.633136,47,902.735529411765
5,1,314,6093503.795794,1687639.667118,25,840.710387096774
6,1,120,6321312.448157,1751016.590197,19,807.871677419355
7,2,904,6082431.487447,1859386.5051,54,803.412
8,2,1192,6106038.885051,1792086.568744,69,1001.50023529412
9,2,338,6315042.936535,1756140.455714,33,1154.3495
10,3,15,6102280.863062,1691608.086477,9,776.68580952381
11,3,1047,6347009.978489,1877066.475078,77,900.014941176471
12,3,624,6542299.675474,2314708.567068,29,719.294352941176
13,3,585,6094800.648798,1699455.081504,45,936.529647058824
14,3,1008,6367847.3602,1902677.437001,82,910.059058823529
15,3,467,6054435.198822,1719318.778115,28,929.867882352941
16,3,548,6322062.951026,1757093.178194,38,1172.63258823529
17,3,407,6095622.846228,1715433.524339,48,837.514941176471
18,4,650,6096457.928721,1695393.358484,57,1051.36788235294
19,4,1040,6751610.665634,2242212.594098,61,916.603176470588
20,5,1191,6269699.434039,1799919.477749,20,1211.97082352941
21,6,718,6150268.675214,1831056.591617,30,983.794352941176
22,6,794,6065137.281292,2094214.299314,82,912.456117647059
23,6,1109,6277966.580381,1901236.535004,82,885.735529411765
24,6,295,6271865.152146,1782694.294777,16,910.396042553191
25,7,1559,6142091.895347,1891897.757408,32,1304.19141176471
26,7,1015,6098039.421411,1976679.325607,73,852.441411764706
27,7,258,6293509.263669,1773821.485695,23,1034.8596744186
28,7,839,6293145.642947,1781197.266319,19,1176.19141176471
29,7,726,5894790.676912,1777972.145058,31,1058.662
30,7,767,6091512.936304,2101000.720244,82,902.044352941176
31,8,93,5836269.498783,1844166.945296,61,850.529647058824
32,8,11,5788911.288943,1905472.327704,44,859.431230769231
33,8,1183,6105790.024329,1906884.962561,36,781.985529411765
34,9,141,6149844.736965,1725892.535125,16,815.736468085106
35,10,81,5846748.210549,1763038.600335,57,947.874121212121
36,10,919,6129692.360974,1821133.060831,60,900.412
37,10,85,6304258.448446,1763467.407459,20,801.926705882353
38,10,1200,6131888.432817,1849997.504447,46,1064.47082352941
39,11,789,6217944.053688,1815842.260381,18,972.603176470588
40,11,1611,6058157.603675,1766088.826216,35,858.117882352941
41,12,447,5780143.446118,1960271.386417,70,895.514941176471
42,12,397,6467595.824862,2322569.116131,29,638.441411764706
43,12,721,6168216.69025,1825958.604464,43,1226.05905882353
44,12,1071,6129348.883998,1811184.877782,32,994.779647058824
45,12,352,6041289.3268,1708801.270422,27,729.412
46,14,277,5892300.052786,1793249.878399,51,977.250235294118
47,14,821,6082944.484471,1691248.882997,28,1120.95611764706
48,14,1433,6059139.0062,1749751.148446,52,1119.83847058824
49,14,821,6112666.332791,1822486.42449,63,863.456117647059
50,15,63,5844419.348462,1793408.680672,40,737.397294117647
51,15,371,6009932.305573,1848524.101386,67,847.059058823529
52,15,1629,6788792.988946,2372283.970469,39,760.897294117647
53,16,559,6310910.569178,2369400.961571,82,866.073764705882
54,16,792,5941805.106954,1987427.541925,72,902.691411764706
55,16,664,5991530.242901,1908926.949946,82,918.985529411765
56,17,8,6081683.649342,1686054.723224,16,529.782
57,17,1130,6043411.842258,1764390.762122,52,787.264941176471
58,17,458,5818063.967266,1928132.559194,74,832.985529411765
59,18,807,6133906.931692,1789584.18794,27,1045.11788235294
60,18,958,6184424.04445,1831888.273983,20,908.809058823529
61,18,1095,6331412.215764,1962493.90832,82,901.456117647059
62,19,98,5915219.163153,1740019.71055,36,839.202
63,19,969,6031607.29338,1954090.61056,82,873.235529411765
64,20,11,5901640.424117,2094387.75832,77,905.044352941176
65,22,43,5867495.044045,1780980.107144,18,710.782
66,22,167,6124889.670051,1713943.248843,27,888.06825
67,23,41,6759228.669837,2478300.61312,18,765.88075
68,24,148,6324787.309415,1749943.378331,24,783.238923076923
69,24,5,6310815.874352,1757332.408423,24,848.044352941176
70,24,1203,6442109.392871,1835894.062376,82,925.132588235294
71,24,156,6178803.918646,1803346.417299,82,1030.10317647059
72,25,9,6362087.200216,1746047.92945,14,829.384222222222
73,26,29,6466330.752746,1832330.125047,22,771.191411764706
74,27,15,6365750.737847,2447564.961461,9,864.412
75,28,15,5877553.266668,1758064.837951,24,811.807833333333
76,30,18,6461037.650544,1823483.169146,27,803.982512820513
77,30,15,6195861.359176,1802042.121313,80,867.353176470588
78,30,82,6050257.682168,1695807.860865,65,905.103176470588
79,30,83,6152952.17456,1743378.52852,13,877.590571428571
80,32,3,5784301.329463,1859341.015375,37,843.457454545455
