run;weightProm;weightFarming;alpha;beta;harbourBonus;dist
45;0.26;0.74;0.51;0.01;1.20;79284.18
73;0.65;0.35;1.20;0.01;0.45;79440.66
22;0.11;0.89;0.09;0.26;0.42;80229.99
14;0.74;0.26;0.04;0.73;0.72;80392.58
83;0.74;0.26;0.08;1.28;1.24;80470.52
56;0.33;0.67;0.16;0.50;1.13;80577.78
54;0.11;0.89;0.22;0.90;0.52;80584.44
36;0.04;0.96;0.90;0.04;0.89;80753.35
39;0.61;0.39;0.15;1.05;0.10;80753.68
1;0.73;0.27;0.29;1.23;1.91;80762.71
7;0.58;0.42;0.44;0.94;1.87;80814.31
99;0.80;0.20;0.25;0.49;0.03;80845.14
64;0.43;0.57;0.26;1.44;0.47;80955.95
71;0.56;0.44;0.21;1.18;0.03;81010.77
53;0.58;0.42;0.25;1.38;0.26;81146.85
18;0.14;0.86;0.45;0.46;1.71;81217.86
87;0.55;0.45;0.54;0.86;1.58;81266.40
40;0.35;0.65;0.29;1.88;1.55;81394.62
84;0.44;0.56;0.32;1.86;1.10;81561.91
93;0.26;0.74;0.45;1.49;0.87;81686.44
59;0.67;0.33;0.54;0.62;0.21;81703.84
20;0.41;0.59;0.57;1.09;1.10;81717.67
67;0.48;0.52;0.61;0.75;1.08;81748.23
35;0.91;0.09;0.12;1.70;1.14;82088.23
76;0.07;0.93;0.56;1.29;1.26;82360.89
19;0.41;0.59;0.48;1.56;1.94;82391.55
96;0.89;0.11;0.11;1.97;0.61;82784.38
46;0.14;0.86;0.47;1.86;0.31;82801.50
66;0.15;0.85;0.57;1.62;1.22;84231.51
48;0.89;0.11;0.43;1.94;1.05;86778.95
26;0.98;0.02;0.37;1.58;1.83;87049.60
97;0.34;0.66;0.75;0.61;0.06;87232.78
41;0.73;0.27;0.62;1.55;1.49;87554.92
50;1.00;0.00;0.40;1.42;1.48;87564.37
79;0.97;0.03;0.33;1.79;0.53;88616.34
92;0.60;0.40;0.78;1.43;0.40;107174.89
15;0.76;0.24;0.74;1.87;1.33;108677.92
21;0.41;0.59;0.79;1.79;1.08;117702.97
43;0.66;0.34;0.86;1.76;1.23;154096.93
63;0.32;0.68;0.90;1.07;1.74;157088.98
11;0.40;0.60;0.87;1.96;0.02;162864.45
61;0.69;0.31;0.85;1.95;0.61;163130.86
34;0.45;0.55;0.90;1.46;1.79;185623.02
29;0.87;0.13;0.81;0.85;0.60;236811.69
9;0.01;0.99;0.99;1.33;1.58;505904.73
94;0.10;0.90;1.03;1.62;1.93;719998.22
89;0.72;0.28;0.91;0.78;0.00;898178.91
90;0.11;0.89;1.58;0.10;0.86;1074898.59
30;0.26;0.74;0.96;0.98;1.94;1227887.30
37;0.36;0.64;1.96;0.72;0.19;1263276.03
60;0.44;0.56;1.00;0.55;0.37;2346064.76
95;0.58;0.42;1.93;1.53;0.25;2677783.73
42;0.21;0.79;1.91;0.52;0.99;2686676.92
75;0.65;0.35;1.98;1.27;1.10;3153560.22
38;0.52;0.48;1.95;0.83;0.22;3756682.44
25;0.74;0.26;1.54;0.25;0.79;4114626.25
86;0.63;0.37;1.92;1.20;1.69;4291695.44
3;0.24;0.76;1.78;1.59;1.98;4456967.65
49;0.31;0.69;1.66;0.80;0.00;5804582.53
4;0.53;0.47;1.27;1.63;1.93;6657412.75
85;0.47;0.53;1.16;0.27;0.34;6658994.99
8;0.42;0.58;1.58;1.39;1.05;6736721.85
91;0.90;0.10;1.71;0.27;1.62;6972808.88
80;0.44;0.56;1.49;0.69;0.62;7112538.01
0;0.86;0.14;1.62;0.34;1.49;7131038.57
51;0.33;0.67;1.54;0.80;0.18;7957908.76
47;0.93;0.07;1.54;1.78;0.81;7985815.41
31;0.58;0.42;1.09;1.40;1.89;8487524.11
65;0.45;0.55;1.94;0.73;0.88;9028470.51
44;0.36;0.64;1.44;0.60;0.22;9030070.34
62;0.30;0.70;1.28;1.80;1.77;10907401.75
88;0.31;0.69;1.93;1.19;0.44;10936303.82
24;0.40;0.60;1.74;1.21;1.60;11374098.34
98;0.43;0.57;1.44;0.66;0.57;11448399.86
68;0.59;0.41;1.00;0.24;0.70;11465365.14
27;0.63;0.37;1.27;0.44;1.12;11507607.91
23;0.78;0.22;1.14;1.82;0.68;12717258.12
77;0.86;0.14;1.47;1.80;0.64;12767549.64
57;0.50;0.50;1.38;1.29;0.21;12772408.20
17;0.53;0.47;1.53;1.38;1.05;13111766.02
10;0.86;0.14;1.20;0.92;1.04;16251135.21
6;0.91;0.09;1.28;0.86;0.38;19169045.38
13;0.94;0.06;1.24;1.22;0.35;19815135.02
82;0.43;0.57;1.30;0.70;1.45;20273517.38
28;0.77;0.23;1.44;0.05;0.47;20730508.78
16;0.86;0.14;1.35;0.38;0.50;21201856.51
81;0.10;0.90;1.76;1.28;0.76;22402119.89
78;0.97;0.03;1.26;1.22;0.72;22683729.11
58;0.34;0.66;1.38;1.03;0.32;28241112.67
69;0.48;0.52;1.44;1.22;0.75;29755568.54
70;0.63;0.37;1.23;0.33;0.06;31707044.41
52;0.65;0.35;1.12;1.71;0.67;36714061.45
33;0.86;0.14;1.14;1.28;0.76;43074298.45
2;0.58;0.42;1.16;0.92;1.41;46095469.02
74;0.31;0.69;1.38;0.97;0.85;51816265.50
5;0.44;0.56;1.15;1.62;0.79;52981037.32
55;0.54;0.46;1.36;1.52;0.08;59415911.13
32;0.57;0.43;1.48;0.66;1.75;67973864.87
12;0.26;0.74;1.43;1.47;0.17;318770484.19
72;0.35;0.65;1.15;0.94;1.43;335967768.54
